title;price;zalog;animals;condition;seller;date;address;technics;description;url;rand_header
Дом 20 м² на участке 2 сот.;15000;залог 7 500 ₽;нет;да;Арендодатель;сегодня в 11:32;Краснодарский край, Краснодар, жилой массив Пашковский, Кубанская ул.;кондиционер, холодильник, плита, стиральная машина, телевизор;Я собственник!!!Внимание❗️❗️❗️Читайте внимательно❗️❗️❗️Студия расчитана на 1-2 студентовВ Пашковке по ул. Кубанская и Карасунская Сдам в маленькую квартиру--«министудия» 20 кв.м, вся площадь. Душевая естьи с/у и постирочная есть. В студии   есть :  Стиральная машинка,Кондиционер, Телевизор, кухонный гарнитур, шкаф для личных вещей, Двухярусная кровать - Икеа, обеденный стол, стулья, холодильник,Парковка для легкового транспорта,возьмем порядочных и не пьющих! Без залога❗️❗️❗️;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_20_m_na_uchastke_2_sot._1942383554;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 50 м² на участке 4 сот.;10000;"Сдам жилую дачу порядочной семье на длительный срок. 3 комнаты ( прихожая 2.5\5 метров, кухня гостинная 3.5\5 метров, спальня 4.5\4.5 метра), сан. узел в доме .  Отопление котел (дрова, уголь, электричество), вода - скважина, насосная станция с автоматикой и бойлер, участок 4 сотки полностью огороженный, заезд для машины ворота 5 метров. сарай 16 кв.м.. Мебель: два дивана, кухня, шифонер, электроплитка, холодильник, стол, 2 табуретки, 1 кресла, трюмо, телевизор, Туалет и душ в доме, горячая и холодная вода.Остановка ""Канал"" до остановки 10 минут пешком, много транспорта, магазинов рядом живут соседи. Предоплата за месяц вперед 10000 руб + залог 10000 руб.";да;нет;Агентство;вчера в 03:25;Краснодарский край, муниципальное образование Краснодар, пос. Знаменский, СНТ Краснодарсельмаш-1, Текстильная ул., 304;холодильник, плита, стиральная машина, водонагреватель, телевизор;"Сдам жилую дачу порядочной семье на длительный срок. 3 комнаты ( прихожая 2.5\5 метров, кухня гостинная 3.5\5 метров, спальня 4.5\4.5 метра), сан. узел в доме .  Отопление котел (дрова, уголь, электричество), вода - скважина, насосная станция с автоматикой и бойлер, участок 4 сотки полностью огороженный, заезд для машины ворота 5 метров. сарай 16 кв.м.. Мебель: два дивана, кухня, шифонер, электроплитка, холодильник, стол, 2 табуретки, 1 кресла, трюмо, телевизор, Туалет и душ в доме, горячая и холодная вода.Остановка ""Канал"" до остановки 10 минут пешком, много транспорта, магазинов рядом живут соседи. Предоплата за месяц вперед 10000 руб + залог 10000 руб.";https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_4_sot._1738579053;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 45 м² на участке 2,5 сот.;15000;залог 15 000 ₽, без комиссии;нет;нет;Арендодатель;25 марта в 10:55;Краснодарский край, Краснодар, 1-й пр. Красных Зорь;холодильник, плита, стиральная машина;Сдается однокомнатная часть частного дома на длительный срок в районе КубГТУ (рассмотрю студетов, для 1-2 человек).Есть все необходимое для комфортного проживания.В шаговой доступности остановки общественного транспорта, рынок, КубГТУ, иснтиутут Культуры и Искусства, магазины, школа и тд.ПРОЖИВАНИЕ БЕЗ ХОХЯЕВ. ОТДЕЛЬНЫЙ ВХОД, ДВОР, ТИХИЕ ДРУЖЕЛЮБНЫЕ СОСЕДИ.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_25_sot._2367248568;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 50 м² на участке 1 сот.;7000;залог 3 500 ₽;нет;нет;Арендодатель;28 марта в 18:37;Краснодарский край, Краснодар, микрорайон Дубинка, ул. Фурманова, 100;плита, водонагреватель;Я собственник, сдаю для одного -двоих жильцов половину  частного дома с отдельным входом.  Район улиц Ставропольской  и ул. Шевченко. По улице Фурманова 100. Тихое место. 150 метров до ул Ставропольской. Дом из самана обложенного кирпичом .Имеется 2 дивана,шифоньер ,шкафы , холодильник, эл . плита , эл. боллер и вся необходимая мебель .отопление газовое.   В а н н а я,  т у а л е т - общие с живущей во второй половине дома девушкой . Оплата 7 000 руб в месяц + коммунальные- обычно до 1 000 руб. А так же залог за половину месяца. Заселение без животных. Дом старый , мебель старая но ещё нормальная.   Фотографии соответствуют. Квартира свободна.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_1_sot._1377185580;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 46 м² на участке 3 сот.;11000;без залога, комиссия 7 040 ₽;нет;да;Агентство;28 марта в 18:54;Краснодарский край, Краснодар, Карасунский внутригородской округ, микрорайон Камвольно-суконный Комбинат, 1-й Продольный пр.;кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор;р-н КСККирп. небольшой дом, состоящий из  кухни, прихожей и 2-х смежных комнат. Ванна установлена в зоне кухни. Туалет во дворе. ФОТО соответствуют.Есть огород, плодовые деревья и кустарники. Въезда нетКоммуналка оплачивается отдельно. ЗАЛОГ 5тр.Сдается на длительный срок, без животных.Двор без хозяев. Во дворе отдельно  стоит 3-ком дом, там живут квартиранты (семейная пара) до июня м-ца. ----------------------------------------------------------------------------------------Сдает Агентство, оплата комиссии агенту - по фактуЗАСЕЛЕНИЯ.Холостой просмотр 100р;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_46_m_na_uchastke_3_sot._2370816615;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 45 м² на участке 5 сот.;15000;залог 15 000 ₽;нет;нет;Арендодатель;сегодня в 08:45;Краснодарский край, г.о. Краснодар, станица Старокорсунская, Чонгарская ул.;not found;В доме вся необходимая мебель, свежий ремонт. Газовое отопление. 15000 в мес. + коммуналка. Залог можно разделить на два месяца. В одном дворе с хозяйкой.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_5_sot._2013301123;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 20 м² на участке 1 сот.;8000;без залога;нет;нет;Арендодатель;30 марта в 06:42;Краснодарский край, муниципальное образование Краснодар, садовое товарищество Делюшес, Сиреневая ул., 2/1;not found;Студия. На участке несколько домов. Рядом остановка и магазин. Местоположение указано. Коммуналка 2000;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_20_m_na_uchastke_1_sot._2357679363;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 50 м² на участке 1 сот.;16000;залог 16 000 ₽;нет;да;Арендодатель;28 марта в 20:36;Краснодарский край, Краснодар, ул. Димитрова, 40;кондиционер, холодильник, плита, стиральная машина, водонагреватель;Сдаётся на длительный срок домик. Две комнаты. Все удобства. Кондиционер. Коммунальные платежи не включены в стоимость аренды. Не больше 2-х человек.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_1_sot._1443006274;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 30 м² на участке 5 сот.;14000;залог 7 000 ₽;нет;да;Арендодатель;30 марта в 18:41;Краснодарский край, Краснодар, микрорайон 2-я Площадка, Кореновский пр., 5;кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор;Сдается часть дома для порядочных людей, гарантирующих чистоту, тишину и порядок. Все необходимое для проживания имеется.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_30_m_na_uchastke_5_sot._2361448737;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 35 м² на участке 1 сот.;10000;без залога;нет;да;Агентство;30 марта в 19:31;Краснодарский край, Краснодар, садовое товарищество Медик, Майская ул., 8;кондиционер, холодильник, плита, стиральная машина, телевизор;все.ест.все.услове.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_35_m_na_uchastke_1_sot._2376529680;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 28 м² на участке 1 сот.;15000;залог 30 000 ₽;нет;да;Арендодатель;30 марта в 20:18;Краснодарский край, Краснодар, Центральный внутригородской округ, микрорайон Центральный, ул. Братьев Игнатовых, 90;кондиционер, холодильник, плита, стиральная машина, водонагреватель;Полноценная однокомнатная квартира;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_28_m_na_uchastke_1_sot._2348696873;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
